Method,MSD
Bayesian Multi using Old chains,0.04162677210276703
Bayesian Multi using Old chains,0.04083390466997517
Bayesian Multi using Old chains,0.040810009518073766
Bayesian Multi using Old chains,0.041937229742400335
Bayesian Multi using Old chains,0.042038912841632955
Bayesian Multi using Old chains,0.04093808061525043
Bayesian Multi using Old chains,0.04152987003705693
Bayesian Multi using Old chains,0.040827414527846016
Bayesian Multi using Old chains,0.04159193428846811
Bayesian Multi using Old chains,0.04228712935700055
Bayesian Multi using Old chains,0.04232076973864583
Bayesian Multi using Old chains,0.04188854193153749
Bayesian Multi using Old chains,0.04213982973873348
Bayesian Multi using Old chains,0.0417820699971794
Bayesian Single using Original chains,0.04035756165946403
Bayesian Single using Original chains,0.04230144789774249
Bayesian Single using Original chains,0.04029725225426637
Bayesian Single using Original chains,0.04012155339828674
Bayesian Single using Original chains,0.04009767571141465
Bayesian Single using Original chains,0.04007123240108671
Bayesian Single using Original chains,0.04046395916319255
Bayesian Single using Original chains,0.0405622706915936
Bayesian Single using Original chains,0.04024995799211259
Bayesian Single using Original chains,0.04008852115053469
Bayesian Single using Original chains,0.04082913499334764
Bayesian Single using Original chains,0.04068823433360249
Bayesian Single using Original chains,0.04204465541240502
Bayesian Single using Original chains,0.04217828352772711
Bayesian Single using Original chains,0.04074031254002017
Bayesian Single using Original chains,0.040402544717683585
Bayesian Single using Original chains,0.0418240450096951
Bayesian Single using Original chains,0.039990796561778855
Bayesian Single using Original chains,0.04010343082572794
Bayesian Single using Original chains,0.04057332433424336
Bayesian Single using Original chains,0.04169511411714796
Bayesian Single using Original chains,0.040315370072149095
Bayesian Single using Original chains,0.04142000436269042
Bayesian Single using Original chains,0.041111662848394126
Bayesian Single using Original chains,0.040774869828876195
Bayesian Single using Original chains,0.040106048485139975
Bayesian Single using Original chains,0.04011454000421606
Bayesian Single using Original chains,0.040192432973873385
Bayesian Single using Original chains,0.040035754971776735
Bayesian Single using Original chains,0.04077929733307782
Bayesian Single using Original chains,0.04105664399704177
Bayesian Single using Original chains,0.04273570366033431
Bayesian Single using Original chains,0.04101785839494365
Bayesian Single using Original chains,0.04041821036228247
Bayesian Single using Original chains,0.04030672991050128
Bayesian Single using Original chains,0.04014932530741766
Bayesian Single using Original chains,0.040067921447062796
Bayesian Single using Original chains,0.040439587309442186
Bayesian Single using Original chains,0.040070910883774465
Bayesian Single using Original chains,0.04030057208237629
